ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
2058-01-01,66,90553,659,Self-Employed,Bachelor,45,20977,24,Single,0,Own,791,0.3938532926,6,0,0.3712514289,0,Home,0,19,8,1189,152,39731,122026,7546.0833333333,0.5308761994,5,5015,0.166477,0.1900625874,1057.485351495,0.244959573,0,51.0
2062-02-20,25,79491,590,Employed,Bachelor,1,47332,96,Married,2,Mortgage,348,0.1824907705,3,0,0.2184040801,0,Debt Consolidation,0,28,22,1017,806,88975,12018,6624.25,0.9054904165,4,76957,0.287332,0.3447984,1455.958541114,0.2723264583,0,49.0
2039-08-16,38,34039,643,Employed,Master,18,60832,48,Married,4,Rent,581,0.2378630546,2,1,0.1451818934,0,Education,0,26,12,16820,679,130474,16125,2836.5833333333,0.9320271563,5,114349,0.234332,0.2154309993,1901.5202815303,0.8751797461,0,44.0
2067-04-12,26,94693,537,Unemployed,High School,4,41904,72,Divorced,2,Mortgage,264,0.7067530089,6,0,0.329388873,0,Home,0,33,28,3359,593,42651,14437,7891.0833333333,0.7429744936,5,28214,0.288404,0.2544494312,1140.2432877928,0.1779531692,0,58.0
2026-09-04,38,43844,585,Employed,Bachelor,14,12137,12,Married,2,Own,570,0.4127773645,3,0,0.0651208066,0,Auto,0,20,28,2195,2668,37594,11006,3653.6666666667,0.6173476251,5,26588,0.184637,0.1730919824,1108.7337865074,0.4594655013,0,52.0
2029-01-21,39,40102,620,Employed,Bachelor,16,15591,72,Married,0,Mortgage,536,0.5015647282,5,1,0.3820774986,0,Home,0,33,1,14409,4135,33163,65760,3341.8333333333,0.9023786394,4,2868,0.220591,0.2517557517,421.6588112393,0.2865668978,0,57.0
2063-10-08,49,46795,585,Employed,Bachelor,26,30993,96,Married,1,Other,314,0.0664073678,1,2,0.2168861913,0,Debt Consolidation,0,25,20,4063,1179,65301,190248,3899.5833333333,0.8304280119,3,3781,0.273493,0.2585788586,766.9020829016,0.2771839939,0,52.0
2036-06-14,27,24219,541,Employed,High School,7,26614,60,Single,0,Mortgage,554,0.1819593138,4,2,0.2427678403,0,Other,0,26,6,3865,2414,6279,30869,2018.25,0.7140582893,7,6863,0.261114,0.2850161374,836.7211074882,0.6890727648,0,55.0
2029-10-17,48,23430,523,Employed,Associate,26,46965,108,Married,0,Mortgage,889,0.1739616976,2,0,0.1948664153,0,Auto,0,20,12,2099,211,55969,19642,1952.5,0.8440470511,3,36327,0.330465,0.3443026252,1414.1460141716,1.1795882275,0,51.0
2063-06-09,33,41042,464,Unemployed,High School,9,27431,36,Married,1,Rent,214,0.3660055437,2,3,0.3459928723,0,Debt Consolidation,0,33,25,1397,191,217020,38882,3420.1666666667,0.8993755624,8,178138,0.280431,0.326245566,1204.270326855,0.4146787175,0,54.0
